Cadena,naics_6,naics_description,cmdCode,complex_index
Back end,334412,334412. Bare Printed Circuit Board Manufacturing,853400,1.03
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,381800,2.37
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,852352,1.33
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854110,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854121,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854129,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854130,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854140,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854150,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854190,0.985
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854231,0.948
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854233,0.948
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854239,0.948
Front end ,334413,334413. Semiconductor and Related Device Manufacturing,854290,0.948
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",850431,0.581
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",850432,0.581
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",850450,0.581
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",851680,0.537
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",852990,0.74
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853210,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853221,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853222,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853223,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853224,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853225,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853229,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853230,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853290,0.966
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853310,0.585
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853321,0.585
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853329,0.585
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853331,0.585
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853339,0.585
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853340,0.585
Front end ,334416,"334416. Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",853390,0.585
Back end,334417,334417. Electronic Connector Manufacturing,853590,0.473
Back end,334417,334417. Electronic Connector Manufacturing,853669,0.718
Back end,334417,334417. Electronic Connector Manufacturing,853670,0.718
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,847330,1.17
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,847340,1.17
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,847350,1.17
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,850490,0.581
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,851690,0.537
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,851762,0.832
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,851890,0.643
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,852290,1.04
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,853190,1
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,853890,0.818
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,854390,1.38
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,901811,0.781
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,901819,0.781
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,901890,0.781
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,902790,1.62
Back end,334418,334418. Printed Circuit Assembly (Electronic Assembly) Manufacturing,903090,1.17
Back end,334419,334419. Other Electronic Component Manufacturing,710410,0.0328
Back end,334419,334419. Other Electronic Component Manufacturing,850440,0.581
Back end,334419,334419. Other Electronic Component Manufacturing,854011,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854012,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854020,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854040,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854060,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854071,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854079,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854081,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854089,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854091,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854099,0.413
Back end,334419,334419. Other Electronic Component Manufacturing,854160,0.985
